block_id,block_type,line_id,line_name,start_h,end_h,label,order_id,sku,sku_description,qty_kg,locked,attrs
prod_36bf63415b,production,9,P18,174.0,255.0,280480,280480-W1,280480,1X28X90 ORG VP APL-CIN-PEC-STB,,False,
prod_ef13b91a08,production,10,P19,198.0,231.0,280323,280323-W1,280323,1X32X90 APL GGS,,False,
prod_d783f327ee,production,10,P19,237.0,335.0,280480,280480-W1,280480,1X28X90 ORG VP APL-CIN-PEC-STB,,False,
prod_a818eeca92,production,10,P19,186.0,198.0,280590,280590-W1,280590,1X24X90 APL GGS,,False,
prod_9d8a2f9a30,production,10,P19,168.0,186.0,280454,280454-W1,280454,1X24X90 FV VP ASTBZUC-ABLBSPN,,False,
prod_fea54b6e32,production,11,P20,185.0,228.0,280351,280351-W1,280351,1X24X90 KIRK ORG STBSPN-MANPEC,,False,
prod_51d4ce9400,production,11,P20,234.0,335.0,280351,280351-W1,280351,1X24X90 KIRK ORG STBSPN-MANPEC,,False,
prod_5a14a169ae,production,11,P20,148.0,183.0,280584,280584-W1,280584,4X16X90 FV VP BER-PEC-PER DINO,,False,
prod_abbf0b59bf,production,12,P21,295.0,334.0,280323,280323-W1,280323,1X32X90 APL GGS,,False,
prod_a3a19e5cdb,production,12,P21,249.0,295.0,280590,280590-W1,280590,1X24X90 APL GGS,,False,
prod_3e79326f7a,production,12,P21,166.0,240.0,570261,570261-W1,570261,1X28X90 ORG VP AP-ST-CI-BA CAN,,False,
prod_0469bce603,production,13,P22,331.0,335.0,280421,280421-W1,280421,2X20X90 VP APL-STB-BAN-PEC CAN,,False,
prod_998ddfcfef,production,13,P22,167.0,236.0,280647,280647-W1,280647,1X24X90 VP APL-MAN-BAN DIS26,,False,
prod_1b0aa3325b,production,13,P22,242.0,330.0,280647,280647-W1,280647,1X24X90 VP APL-MAN-BAN DIS26,,False,
cip_6bd8645701,cip,0,P09,70.0,76.0,CIP,,CIP,,,False,
cip_6ee686dba8,cip,3,P12,25.0,31.0,CIP,,CIP,,,False,
cip_07f3af9d1d,cip,4,P13,141.0,147.0,CIP,,CIP,,,False,
cip_1d6c68a224,cip,5,P14,95.0,101.0,CIP,,CIP,,,False,
cip_ae8f0d14fd,cip,6,P15,75.0,81.0,CIP,,CIP,,,False,
cip_2e60add119,cip,7,P16,41.0,47.0,CIP,,CIP,,,False,
cip_06baff67eb,cip,8,P17,46.0,52.0,CIP,,CIP,,,False,
cip_fb9c4299fd,cip,8,P17,158.0,164.0,CIP,,CIP,,,False,
cip_edbf9284d1,cip,9,P18,70.0,76.0,CIP,,CIP,,,False,
cip_fa93370adc,cip,10,P19,105.0,111.0,CIP,,CIP,,,False,
cip_b04eab63e6,cip,11,P20,108.0,114.0,CIP,,CIP,,,False,
cip_220f51dc2c,cip,12,P21,118.0,124.0,CIP,,CIP,,,False,
cip_06ccb75ecd,cip,13,P22,110.0,116.0,CIP,,CIP,,,False,
cip_0e76d79044,cip,0,P09,166.0,172.0,CIP,,CIP,,,False,
cip_69186e9629,cip,0,P09,292.0,298.0,CIP,,CIP,,,False,
cip_a0cae17fe6,cip,3,P12,128.0,134.0,CIP,,CIP,,,False,
cip_8d2fd9204e,cip,3,P12,254.0,260.0,CIP,,CIP,,,False,
cip_1108ab63df,cip,4,P13,289.0,295.0,CIP,,CIP,,,False,
cip_7bbebf08ca,cip,5,P14,221.0,227.0,CIP,,CIP,,,False,
cip_a58e3a7213,cip,6,P15,225.0,231.0,CIP,,CIP,,,False,
cip_d533c14893,cip,7,P16,191.0,197.0,CIP,,CIP,,,False,
cip_9dde6126fc,cip,8,P17,284.0,290.0,CIP,,CIP,,,False,
cip_94df8630ba,cip,9,P18,168.0,174.0,CIP,,CIP,,,False,
cip_952fa65809,cip,9,P18,255.0,261.0,CIP,,CIP,,,False,
cip_11832868dd,cip,10,P19,231.0,237.0,CIP,,CIP,,,False,
cip_ff6cadbd06,cip,11,P20,228.0,234.0,CIP,,CIP,,,False,
cip_f0ee38fd71,cip,12,P21,243.0,249.0,CIP,,CIP,,,False,
cip_7b91f6975a,cip,13,P22,236.0,242.0,CIP,,CIP,,,False,
