line_id,sku,line_name,capable,rate_kgph
10,120536,P19,0,1454.0
11,120536,P20,0,1475.0
12,120536,P21,0,1432.0
13,120536,P22,0,1356.0
0,241283,P09,1,716.0
1,241283,P10,0,635.0
2,241283,P11,1,770.0
3,241283,P12,0,608.0
4,241283,P13,1,748.0
5,241283,P14,0,689.0
6,241283,P15,1,630.0
7,241283,P16,0,800.0
8,241283,P17,0,1454.0
9,241283,P18,0,1486.0
10,241283,P19,0,1454.0
11,241283,P20,1,1475.0
12,241283,P21,0,1432.0
13,241283,P22,0,1356.0
0,251200,P09,1,716.0
1,251200,P10,0,635.0
2,251200,P11,1,770.0
3,251200,P12,0,608.0
4,251200,P13,1,748.0
5,251200,P14,0,689.0
6,251200,P15,0,630.0
7,251200,P16,1,800.0
8,251200,P17,0,1454.0
9,251200,P18,0,1486.0
10,251200,P19,0,1454.0
11,251200,P20,1,1475.0
12,251200,P21,0,1432.0
13,251200,P22,1,1356.0
0,280039,P09,1,716.0
1,280039,P10,1,635.0
2,280039,P11,0,770.0
3,280039,P12,0,608.0
4,280039,P13,1,748.0
5,280039,P14,0,689.0
6,280039,P15,1,630.0
7,280039,P16,1,800.0
8,280039,P17,0,1454.0
9,280039,P18,0,1486.0
10,280039,P19,0,1454.0
11,280039,P20,0,1475.0
12,280039,P21,0,1432.0
13,280039,P22,0,1356.0
0,280052,P09,1,716.0
1,280052,P10,1,635.0
2,280052,P11,1,770.0
3,280052,P12,0,608.0
4,280052,P13,1,748.0
5,280052,P14,0,689.0
6,280052,P15,1,630.0
7,280052,P16,1,800.0
8,280052,P17,1,1454.0
9,280052,P18,1,1486.0
10,280052,P19,1,1454.0
11,280052,P20,0,1475.0
12,280052,P21,1,1432.0
13,280052,P22,1,1356.0
0,280090,P09,0,716.0
1,280090,P10,0,635.0
2,280090,P11,0,770.0
3,280090,P12,1,608.0
4,280090,P13,0,748.0
5,280090,P14,1,689.0
6,280090,P15,0,630.0
7,280090,P16,0,800.0
8,280090,P17,0,1454.0
9,280090,P18,0,1486.0
10,280090,P19,0,1454.0
11,280090,P20,0,1475.0
12,280090,P21,0,1432.0
13,280090,P22,0,1356.0
0,280098,P09,1,716.0
1,280098,P10,0,635.0
2,280098,P11,1,770.0
3,280098,P12,1,608.0
4,280098,P13,0,748.0
5,280098,P14,1,689.0
6,280098,P15,0,630.0
7,280098,P16,0,800.0
8,280098,P17,0,1454.0
9,280098,P18,0,1486.0
10,280098,P19,0,1454.0
11,280098,P20,0,1475.0
12,280098,P21,0,1432.0
13,280098,P22,0,1356.0
0,280103,P09,1,716.0
1,280103,P10,0,635.0
2,280103,P11,0,770.0
3,280103,P12,0,608.0
4,280103,P13,0,748.0
5,280103,P14,0,689.0
6,280103,P15,1,630.0
7,280103,P16,0,800.0
8,280103,P17,1,1454.0
9,280103,P18,1,1486.0
10,280103,P19,0,1454.0
11,280103,P20,1,1475.0
12,280103,P21,0,1432.0
13,280103,P22,0,1356.0
0,280104,P09,1,716.0
1,280104,P10,0,635.0
2,280104,P11,0,770.0
3,280104,P12,0,608.0
4,280104,P13,0,748.0
5,280104,P14,0,689.0
6,280104,P15,1,630.0
7,280104,P16,0,800.0
8,280104,P17,1,1454.0
9,280104,P18,1,1486.0
10,280104,P19,0,1454.0
11,280104,P20,1,1475.0
12,280104,P21,0,1432.0
13,280104,P22,0,1356.0
0,280107,P09,1,716.0
1,280107,P10,0,635.0
2,280107,P11,1,770.0
3,280107,P12,1,608.0
4,280107,P13,0,748.0
5,280107,P14,1,689.0
6,280107,P15,1,630.0
7,280107,P16,0,800.0
8,280107,P17,1,1454.0
9,280107,P18,0,1486.0
10,280107,P19,0,1454.0
11,280107,P20,1,1475.0
12,280107,P21,0,1432.0
13,280107,P22,0,1356.0
0,280121,P09,1,716.0
1,280121,P10,0,635.0
2,280121,P11,1,770.0
3,280121,P12,0,608.0
4,280121,P13,1,748.0
5,280121,P14,0,689.0
6,280121,P15,1,630.0
7,280121,P16,1,800.0
8,280121,P17,0,1454.0
9,280121,P18,0,1486.0
10,280121,P19,0,1454.0
11,280121,P20,0,1475.0
12,280121,P21,0,1432.0
13,280121,P22,0,1356.0
0,280123,P09,1,716.0
1,280123,P10,1,635.0
2,280123,P11,1,770.0
3,280123,P12,0,608.0
4,280123,P13,1,748.0
5,280123,P14,0,689.0
6,280123,P15,1,630.0
7,280123,P16,1,800.0
8,280123,P17,0,1454.0
9,280123,P18,0,1486.0
