Year Start,Month Start,Day Start,Machine,Product,Tons,gen_idtypemaille,Year End,Month End,Day End,Hours
2027,2,15,P02,280045,18.45,4,2027,2,22,24.758
2027,3,8,P02,280045,18,4,2027,3,15,24.155
2027,3,15,P02,280045,25.75,4,2027,3,22,34.554
2027,3,29,P02,280045,18,4,2027,4,5,24.155
2027,4,26,P02,280045,29.495,4,2027,5,3,39.58
2027,5,17,P02,280045,26.46,4,2027,5,24,35.507
2027,6,28,P02,280045,19.89,4,2027,7,5,26.691
2027,7,19,P02,280045,23.43,4,2027,7,26,31.441
2027,8,9,P02,280045,18,4,2027,8,16,24.155
2027,8,30,P02,280045,18,4,2027,9,6,24.155
2027,9,20,P02,280045,18,4,2027,9,27,24.155
2027,10,4,P02,280045,18,4,2027,10,11,24.155
2027,10,11,P02,280045,18,4,2027,10,18,24.155
2027,10,18,P02,280045,18,4,2027,10,25,24.155
2027,11,8,P02,280045,18,4,2027,11,15,24.155
2027,11,29,P02,280045,18,4,2027,12,6,24.155
2027,12,27,P02,280045,23.91,4,2028,1,3,32.085
2028,1,10,P02,280045,25.06,4,2028,1,17,33.629
2026,8,31,P02,280105,19.083,4,2026,9,7,24.922
2026,9,21,P02,280105,27.79,4,2026,9,28,36.293
2026,10,12,P02,280105,30.06,4,2026,10,19,38.765
2026,10,19,P02,280105,18,4,2026,10,26,23.213
2026,10,26,P02,280105,25.989,4,2026,11,2,33.515
2026,12,21,P02,280105,23.61,4,2026,12,28,31.775
2027,1,4,P02,280105,35.97,4,2027,1,11,48.269
2027,1,18,P02,280105,18,4,2027,1,25,24.155
2027,2,1,P02,280105,32.65,4,2027,2,8,43.814
2027,2,15,P02,280105,32.441,4,2027,2,22,43.534
2027,2,22,P02,280105,31.76,4,2027,3,1,42.619
2027,3,1,P02,280105,33.25,4,2027,3,8,44.619
2027,3,8,P02,280105,33.8,4,2027,3,15,45.357
2027,3,15,P02,280105,33.29,4,2027,3,22,44.673
2027,4,5,P02,280105,33.8,4,2027,4,12,45.357
2027,4,19,P02,280105,32.508,4,2027,4,26,43.623
2027,4,26,P02,280105,50.247,4,2027,5,3,67.427
2027,5,24,P02,280105,33.36,4,2027,5,31,44.767
2027,5,31,P02,280105,40.718,4,2027,6,7,54.641
2027,6,28,P02,280105,36.35,4,2027,7,5,48.779
2027,7,5,P02,280105,33.534,4,2027,7,12,45
2027,8,23,P02,280105,78.197,4,2027,8,30,104.934
2027,10,11,P02,280105,30.6,4,2027,10,18,41.063
2027,10,18,P02,280105,31.78,4,2027,10,25,42.646
2027,11,1,P02,280105,14.285,4,2027,11,8,19.169
2027,12,20,P02,280105,15.16,4,2027,12,27,20.344
2027,12,27,P02,280105,21.05,4,2028,1,3,28.247
2028,1,3,P02,280105,3.556,4,2028,1,10,4.772
2028,1,17,P02,280105,13.065,4,2028,1,24,17.532
2028,1,24,P02,280105,6.824,4,2028,1,31,9.158
2026,9,28,P02,280106,18,4,2026,10,5,23.213
2026,11,2,P02,280106,18,4,2026,11,9,23.708
2026,11,9,P02,280106,18,4,2026,11,16,23.708
2026,11,30,P02,280106,21.76,4,2026,12,7,29.285
2027,1,4,P02,280106,18,4,2027,1,11,24.155
2027,1,11,P02,280106,18,4,2027,1,18,24.155
2027,1,25,P02,280106,29.376,4,2027,2,1,39.42
2027,2,8,P02,280106,26.43,4,2027,2,15,35.467
2027,2,22,P02,280106,18,4,2027,3,1,24.155
2027,3,1,P02,280106,18,4,2027,3,8,24.155
2027,3,22,P02,280106,18,4,2027,3,29,24.155
2027,4,5,P02,280106,18,4,2027,4,12,24.155
2027,4,12,P02,280106,18,4,2027,4,19,24.155
2027,5,31,P02,280106,25.646,4,2027,6,7,34.415
2027,7,12,P02,280106,49.368,4,2027,7,19,66.248
2027,8,23,P02,280106,21.545,4,2027,8,30,28.911
2027,9,13,P02,280106,18,4,2027,9,20,24.155
2027,9,20,P02,280106,17.23,4,2027,9,27,23.121
2027,10,11,P02,280106,13.542,4,2027,10,18,18.172
2027,10,18,P02,280106,14.604,4,2027,10,25,19.598
2027,11,1,P02,280106,5.44,4,2027,11,8,7.3
2027,11,22,P02,280106,2.059,4,2027,11,29,2.763
2027,11,29,P02,280106,3.288,4,2027,12,6,4.413
2027,12,20,P02,280106,5.197,4,2027,12,27,6.974
2028,1,3,P02,280106,7.481,4,2028,1,10,10.039
2028,1,17,P02,280106,7.815,4,2028,1,24,10.487
2028,1,24,P02,280106,7.731,4,2028,1,31,10.374
2026,8,3,P02,280166,35,4,2026,8,10,46.23
2026,8,10,P02,280166,28,4,2026,8,17,36.984
2026,8,31,P02,280166,35.431,4,2026,9,7,46.272
2026,9,14,P02,280166,49.14,4,2026,9,21,64.175
2026,9,21,P02,280166,45.11,4,2026,9,28,58.912
2027,1,18,P02,280166,81.742,4,2027,1,25,109.691
2027,2,1,P02,280166,25.345,4,2027,2,8,34.011
2027,3,15,P02,280166,58.702,4,2027,3,22,78.773
2027,5,10,P02,280166,30.204,4,2027,5,17,40.531
2027,9,13,P02,280166,29.589,4,2027,9,20,39.706
2027,11,8,P02,280166,12.424,4,2027,11,15,16.672
2027,11,15,P02,280166,49.284,4,2027,11,22,66.135
2027,11,22,P02,280166,15.081,4,2027,11,29,20.237
2027,12,6,P02,280166,5.328,4,2027,12,13,7.149
2027,12,20,P02,280166,23.54,4,2027,12,27,31.589
2028,1,3,P02,280166,11.596,4,2028,1,10,15.562
2026,8,10,P02,280344,90,4,2026,8,17,118.878
2026,8,17,P02,280344,90,4,2026,8,24,118.878
2026,8,24,P02,280344,90,4,2026,8,31,118.878
2026,10,19,P02,280344,74.15,4,2026,10,26,95.623
2026,11,16,P02,280344,62.45,4,2026,11,23,82.253
2026,12,14,P02,280344,90,4,2026,12,21,121.124
2027,5,17,P02,280344,67.322,4,2027,5,24,90.34
2027,6,7,P02,280344,66.46,4,2027,6,14,89.184
2027,7,26,P02,280344,99.742,4,2027,8,2,133.845
2027,8,2,P02,280344,98.904,4,2027,8,9,132.722
2027,10,18,P02,280344,12.158,4,2027,10,25,16.315
2027,11,1,P02,280344,20.498,4,2027,11,8,27.507
2027,11,8,P02,280344,26.784,4,2027,11,15,35.942
2027,11,15,P02,280344,47.698,4,2027,11,22,64.006
2027,12,13,P02,280344,18.718,4,2027,12,20,25.119
2027,12,20,P02,280344,22.489,4,2027,12,27,30.178
2027,12,27,P02,280344,39.248,4,2028,1,3,52.668
2028,1,3,P02,280344,21.309,4,2028,1,10,28.595
2028,1,17,P02,280344,21.086,4,2028,1,24,28.296
2028,1,24,P02,280344,21.108,4,2028,1,31,28.325
2026,10,19,P02,280434,30.37,4,2026,10,26,39.165
2026,11,16,P02,280434,57.51,4,2026,11,23,75.747
2027,5,17,P02,280434,23.96,4,2027,5,24,32.152
2027,6,7,P02,280434,23.54,4,2027,6,14,31.589
2027,9,20,P02,280434,16.939,4,2027,9,27,22.731
2027,11,29,P02,280434,10.06,4,2027,12,6,13.5
2028,1,3,P02,280434,4.055,4,2028,1,10,5.441
2028,1,17,P02,280434,4.06,4,2028,1,24,5.448
2028,1,24,P02,280434,4.5,4,2028,1,31,6.039
2026,8,31,P02,280571,33.913,4,2026,9,7,44.289
2026,11,9,P02,280571,31.828,4,2026,11,16,41.921
2026,12,28,P02,280571,5.447,4,2027,1,4,7.31
2027,1,4,P02,280571,24.842,4,2027,1,11,33.335
2027,3,29,P02,280571,11.063,4,2027,4,5,14.845
2027,5,24,P02,280571,35.74,4,2027,5,31,47.96
2027,5,31,P02,280571,33.377,4,2027,6,7,44.79
2027,6,7,P02,280571,9.742,4,2027,6,14,13.072
2027,6,14,P02,280571,31.395,4,2027,6,21,42.129
2027,6,21,P02,280571,60.946,4,2027,6,28,81.785
2027,6,28,P02,280571,15.548,4,2027,7,5,20.864
2027,7,12,P02,280571,35.232,4,2027,7,19,47.279
