line,sku,is_double_line,first_run,last_run,n_runs,hrs,kg,rate_kgph,rate_p20,rate_p80,oee_mean_hw,recent_n_runs,recent_hrs,recent_kg,recent_rate_kgph,recent_rate_p20,recent_rate_p80,recent_oee_mean_hw,low_evidence,capable,calc_rate_kgph,in_capability_table,measured_over_calc,recent_over_calc
P18,280344,True,2024-04-01,2026-08-16,30,1430.1,2010468.0,1405.8,1182.7,1597.4,0.6258,28.0,1270.1,1829274.0,1440.3,1284.5,1630.2,0.6411,False,1.0,1486.0,True,0.946,0.969
P18,280351,True,2023-05-01,2024-02-11,4,708.0,1134462.0,1602.3,1611.8,1613.8,0.7133,,,,,,,,False,0.0,1486.0,True,1.078,
P18,280391,True,2023-08-10,2025-07-30,3,138.0,157517.0,1141.4,959.0,1423.1,0.5081,2.0,126.0,137190.0,1088.8,959.0,1334.2,0.4847,False,,,False,,
P18,280405,True,2024-01-23,2026-07-26,9,438.0,508355.0,1160.6,845.7,1364.6,0.5217,5.0,244.0,246181.0,1008.9,773.3,1307.8,0.4581,False,1.0,1486.0,True,0.781,0.679
P18,280421,True,2024-02-18,2026-08-26,19,877.8,1104651.0,1258.4,1156.8,1383.1,0.5602,16.0,697.8,851849.0,1220.7,1140.4,1378.5,0.5434,False,1.0,1486.0,True,0.847,0.821
P18,280451,True,2024-05-07,2026-08-16,6,227.0,261134.0,1150.4,582.8,1575.9,0.5172,5.0,203.0,236555.0,1165.3,581.2,1594.5,0.5245,False,1.0,1486.0,True,0.774,0.784
P18,280452,True,2024-06-30,2026-08-25,8,276.0,332219.0,1203.7,1109.2,1312.4,0.5358,7.0,264.0,320900.0,1215.5,1135.8,1325.1,0.5411,False,1.0,1486.0,True,0.81,0.818
P18,280453,True,2025-02-12,2026-08-23,5,196.0,213365.0,1088.6,925.3,1266.0,0.4846,5.0,196.0,213365.0,1088.6,925.3,1266.0,0.4846,False,1.0,1486.0,True,0.733,0.733
P18,280454,True,2024-02-09,2024-11-10,6,301.0,411328.0,1366.5,1074.4,1630.8,0.6083,1.0,48.0,68157.0,1419.9,1419.9,1419.9,0.6321,False,1.0,1486.0,True,0.92,0.956
P18,280480,True,2023-12-08,2026-07-23,59,3399.8,4941653.0,1453.5,1308.5,1640.5,0.6471,37.0,2052.8,2975837.0,1449.7,1294.7,1646.0,0.6453,False,1.0,1486.0,True,0.978,0.976
P18,280489,True,2024-04-23,2025-06-22,5,373.0,570600.0,1529.8,1406.8,1661.1,0.681,2.0,176.0,291628.0,1657.0,1647.2,1673.2,0.7376,False,1.0,1486.0,True,1.029,1.115
P18,280490,True,2025-04-16,2026-07-26,14,732.0,1029411.0,1406.3,1264.1,1575.0,0.626,14.0,732.0,1029411.0,1406.3,1264.1,1575.0,0.626,False,1.0,1486.0,True,0.946,0.946
P18,280493,True,2024-06-07,2025-07-28,3,108.0,132621.0,1228.0,1104.7,1478.2,0.5466,1.0,36.0,39667.0,1101.8,1101.8,1101.8,0.4905,False,1.0,1486.0,True,0.826,0.741
P18,280541,True,2026-05-04,2026-05-04,1,15.0,8307.0,553.8,553.8,553.8,0.4931,1.0,15.0,8307.0,553.8,553.8,553.8,0.4931,True,0.0,1486.0,True,0.373,0.373
P18,280559,True,2025-04-18,2025-04-18,1,24.0,29767.0,1240.3,1240.3,1240.3,0.5521,1.0,24.0,29767.0,1240.3,1240.3,1240.3,0.5521,True,1.0,1486.0,True,0.835,0.835
P18,280564,True,2026-08-31,2026-09-01,2,40.0,45582.0,1139.5,1058.5,1301.7,0.5073,2.0,40.0,45582.0,1139.5,1058.5,1301.7,0.5073,True,1.0,1486.0,True,0.767,0.767
P18,280567,True,2025-10-13,2025-10-19,2,248.0,409821.0,1652.5,1538.3,1791.2,0.7356,2.0,248.0,409821.0,1652.5,1538.3,1791.2,0.7356,True,1.0,1486.0,True,1.112,1.112
P18,280590,True,2025-10-12,2026-06-26,6,161.5,261405.0,1618.6,1470.3,1735.8,0.7205,6.0,161.5,261405.0,1618.6,1470.3,1735.8,0.7205,False,1.0,1486.0,True,1.089,1.089
P18,280591,True,2025-10-08,2026-03-05,3,126.0,141030.0,1119.3,752.5,1693.0,0.4983,3.0,126.0,141030.0,1119.3,752.5,1693.0,0.4983,False,1.0,1486.0,True,0.753,0.753
P18,280592,True,2025-10-11,2025-10-11,1,24.0,39368.0,1640.3,1640.3,1640.3,0.7302,1.0,24.0,39368.0,1640.3,1640.3,1640.3,0.7302,True,1.0,1486.0,True,1.104,1.104
P18,280647,True,2026-01-20,2026-01-25,2,128.0,182034.0,1422.1,1376.7,1509.4,0.6331,2.0,128.0,182034.0,1422.1,1376.7,1509.4,0.6331,True,,,False,,
P18,280686,True,2026-05-30,2026-08-01,8,593.0,733845.0,1237.5,962.5,1519.5,0.5737,8.0,593.0,733845.0,1237.5,962.5,1519.5,0.5737,False,1.0,1486.0,True,0.833,0.833
P18,570223,True,2025-07-20,2026-08-23,2,64.0,72482.0,1132.5,1022.4,1396.8,0.5042,2.0,64.0,72482.0,1132.5,1022.4,1396.8,0.5042,True,1.0,1486.0,True,0.762,0.762
P18,570261,True,2026-01-17,2026-08-09,5,200.0,242623.0,1213.1,967.3,1423.9,0.54,5.0,200.0,242623.0,1213.1,967.3,1423.9,0.54,False,1.0,1486.0,True,0.816,0.816
P19,280052,True,2023-10-24,2023-10-24,1,13.0,10647.0,819.0,819.0,819.0,0.3646,,,,,,,,True,1.0,1454.0,True,0.563,
P19,280105,True,2026-02-24,2026-02-24,1,64.0,94189.0,1471.7,1471.7,1471.7,0.6551,1.0,64.0,94189.0,1471.7,1471.7,1471.7,0.6551,True,,,False,,
