sku,line,hrs,n_runs,share_of_sku_hrs,recent_hrs,recent_n_runs,recent_share_of_sku_hrs,rank_by_recent_hrs
120464,P17,112.0,2,0.008,112.0,2.0,0.044,6.0
120464,P22,88.0,1,0.006,88.0,1.0,0.034,7.0
120464,P16,1981.12,44,0.135,86.0,4.0,0.034,8.0
120464,P21,24.0,1,0.002,24.0,1.0,0.009,9.0
120464,P10,1062.17,18,0.072,,,,
120465,P09,19.0,1,0.007,,,,
120465,P10,136.15,8,0.051,,,,
120465,P12,1086.2,37,0.404,,,,
120465,P13,50.0,2,0.019,,,,
120465,P14,1255.57,49,0.467,,,,
120465,P15,103.7,3,0.039,,,,
120465,P16,40.0,2,0.015,,,,
120531,P14,573.0,30,0.547,247.0,11.0,0.76,1.0
120531,P12,463.43,26,0.443,78.0,4.0,0.24,2.0
120531,P10,8.0,1,0.008,,,,
120531,P15,2.73,1,0.003,,,,
120532,P14,2333.22,82,0.525,721.5,29.0,0.659,1.0
120532,P12,2018.28,58,0.454,373.0,7.0,0.341,2.0
120532,P10,2.7,1,0.001,,,,
120532,P11,85.0,4,0.019,,,,
120532,P13,8.0,1,0.002,,,,
120534,P14,389.0,20,0.549,176.0,8.0,0.842,1.0
120534,P12,308.0,22,0.434,33.0,3.0,0.158,2.0
120534,P15,12.0,1,0.017,,,,
120536,P14,1523.51,68,0.544,403.35,22.0,0.816,1.0
120536,P12,1107.1,47,0.395,91.0,5.0,0.184,2.0
120536,P09,20.5,1,0.007,,,,
120536,P11,79.9,3,0.029,,,,
120536,P13,19.0,1,0.007,,,,
120536,P16,52.65,3,0.019,,,,
241281,P12,456.0,15,0.82,,,,
241281,P13,45.0,1,0.081,,,,
241281,P14,31.0,1,0.056,,,,
241281,P15,24.0,1,0.043,,,,
241283,P11,1064.22,33,0.233,219.0,5.0,0.223,1.0
241283,P15,516.0,15,0.113,188.0,5.0,0.192,2.0
241283,P16,362.03,11,0.079,166.5,5.0,0.17,3.0
241283,P09,1005.5,31,0.22,157.5,6.0,0.161,4.0
241283,P13,1386.83,40,0.303,138.0,4.0,0.141,5.0
241283,P22,88.0,3,0.019,88.0,3.0,0.09,6.0
241283,P20,24.0,1,0.005,24.0,1.0,0.024,7.0
241283,P10,127.75,4,0.028,,,,
241287,P20,599.0,13,0.12,355.0,7.0,0.485,1.0
241287,P11,746.7,20,0.15,156.0,5.0,0.213,2.0
241287,P16,327.0,8,0.066,108.0,2.0,0.148,3.0
241287,P09,1099.03,25,0.221,89.0,4.0,0.122,4.0
