mo_start_date,LINE,MO,PRODUCT CODE,Sum of OEE,Max of mo_scheduled_hrs,pouches_produced,pouch_weight_g,kg_per_hr
43136,P16,5052,242027,0.643108974,40,321040,90,722.34
43137,P13,5045,251200,0.634915865,48,380340,90,713.14
43137,P14,5049,120536,0.604897837,32,241572,90,679.42
43138,P09,5098,120464,0.613491354,43,329224,90,689.07
43138,P11,5101,120436,0.713234834,41,364948,90,801.11
43138,P12,5039,120450,0.850357782,21.5,228168,90,955.12
43138,P14,5050,120435,0.715423077,50,446424,90,803.56
43138,P16,5053,280003,0.669286243,26,217170,90,751.74
43139,P10,5099,120436,0.551282051,24,165120,90,619.20
43139,P12,5040,120454,0.72613515,24,217492,90,815.60
43139,P13,5046,120437,0.773258345,26.5,255732,90,868.52
43139,P16,5097,120433,0.573266857,13.5,96584,90,643.89
43140,P12,5042,120437,0.956923077,3.75,44784,90,1074.82
43143,P09,5103,120464,0.716620879,21,187812,90,804.91
43143,P10,5084,120464,0.672685185,27,226668,90,755.56
43143,P11,5104,120463,0.719052707,27,242292,90,807.64
43143,P11,5104,120464,0.762884615,5,47604,90,856.87
43143,P12,5107,120437,0.757342657,11,103968,90,850.65
43143,P12,5108,120444,0.678205128,24,203136,90,761.76
43143,P13,5112,251200,0.857879726,59,631674,90,963.57
43143,P14,5113,120453,0.713983516,35,311868,90,801.95
43143,P15,5130,120450,0.269408832,27,90780,90,302.60
43144,P09,5083,241288,0.825722168,79,814096,90,927.45
43144,P11,5105,280068,0.726262361,73.25,663920,90,815.74
43144,P12,5119,120435,0.795426529,26,258100,90,893.42
43144,P14,5114,120451,0.736097756,24,220476,90,826.79
43144,P15,5129,242027,0.498999262,69.5,432812,90,560.48
43145,P10,5102,280068,0.74968143,41.25,385936,90,842.04
43145,P13,5111,120464,0.762752849,45,428362,90,856.72
43145,P14,5120,120465,0.815737179,50,509020,90,916.24
43146,P12,5118,120450,0.833153846,12.5,129972,90,935.80
43151,P09,5158,120436,0.738489011,35,322572,90,829.47
43151,P10,5135,280068,0.753711986,86,808944,90,846.57
43151,P11,5136,280068,0.71899499,87,780656,90,807.58
43151,P12,5139,120435,0.721365878,65,585172,90,810.24
43151,P12,5159,120436,0.765080972,19,181416,90,859.34
43151,P13,5140,280107,0.732793522,19,173760,90,823.07
43151,P13,5149,120430,0.769799499,66.5,638872,90,864.64
43151,P14,5145,120448,0.657454212,35,287176,90,738.45
43151,P15,5147,242027,0.515201465,35,225040,90,578.67
43152,P09,5132,120464,0.748557692,24,224208,90,840.78
43152,P14,5160,120465,0.767615385,50,478992,90,862.19
43152,P15,5148,120451,0.467895299,24,140144,90,525.54
43153,P09,5133,120437,0.868956044,14,151824,90,976.01
43153,P15,5177,120430,0.499839744,15,93570,90,561.42
43154,P15,5194,120435,0.553952991,6,41480,90,622.20
43157,P09,5191,120436,0.782088551,43,419700,90,878.44
43157,P10,5203,242030,0.802968961,19,190400,90,901.89
43157,P10,5204,242027,0.788628472,48,472420,90,885.79
43157,P11,5181,280068,0.698507463,67,584064,90,784.56
43157,P12,5182,120433,0.672472527,35,293736,90,755.32
43157,P13,5170,120436,0.756816877,67,632820,90,850.06
43157,P14,5185,120430,0.805677656,35,351920,90,904.94
43157,P15,5188,120436,0.711707875,35,310874,90,799.39
43157,P15,5188,120448,0.622175481,16,124236,90,698.83
43158,P09,5162,120437,0.756850962,24,226692,90,850.10
43158,P12,5183,120431,0.821153846,32,327936,90,922.32
43158,P14,5186,120465,0.814145132,32,325137,90,914.45
43159,P09,5228,120437,0.728637124,23,209148,90,818.41
43159,P09,5229,120444,0.484975962,8,48420,90,544.73
43159,P10,5229,242027,0.493464326,23,141644,90,554.26
43159,P11,5230,280068,0.809380071,39.5,398992,90,909.10
43159,P12,5232,120431,0.807300151,42.5,428192,90,906.76
43159,P13,5171,120437,0.756997863,42,396788,90,850.26
43159,P14,5231,120435,0.65467033,7,57192,90,735.33
43159,P15,5189,120448,0.845552885,16,168840,90,949.73
43159,P15,5190,120430,0.538146749,28,188050,90,604.45
43160,P10,5205,120433,0.765705128,19,181564,90,860.04
43160,P14,5187,120432,0.394230769,0.5,2460,90,442.80
43160,P14,5187,120435,0.741336138,32,296060,90,832.67
43161,P09,5192,120444,0.898269231,10,112104,90,1008.94
43164,P09,5207,242027,0.763683847,74.25,707660,90,857.77
43164,P10,5209,280068,0.741365777,98,906720,90,832.70
43164,P11,5209,280068,0.748860399,27,252336,90,841.12
43164,P13,5214,120437,0.722325721,64,576936,90,811.32
43164,P13,5222,120448,0.810222672,19,192120,90,910.04
43164,P15,5216,120436,0.557160393,47,326808,90,625.80
43164,P16,5219,120430,0.518445199,51,329980,90,582.32
43165,P11,5221,280068,0.822001076,71.5,733488,90,923.27
43166,P12,5210,280093,0.59751773,24,161760,110,741.40
43166,P15,5215,242027,0.548865069,61,417840,90,616.49
43166,P16,5220,120433,0.582834758,18,130928,90,654.64
43167,P09,5208,280068,0.685290148,28.5,243744,90,769.72
43167,P12,5211,280095,0.608911139,21.25,145956,110,755.54
43167,P12,5211,280096,0.743635685,4.75,39844,110,922.70
43167,P13,5223,120436,0.803580902,29,290832,90,902.58
43167,P16,5218,242027,0.601008673,34,255020,90,675.05
43171,P09,5257,120436,0.772230769,75,722808,90,867.37
43171,P10,5269,280068,0.720144496,90.5,813360,90,808.87
43171,P11,5259,242027,0.674760973,59,496840,90,757.89
43171,P13,5248,120436,0.625290698,43,335556,90,702.33
43171,P14,5250,120436,0.66531339,27,224184,90,747.28
43171,P15,5252,280107,0.230128205,33,94776,90,258.48
43171,P16,5255,242027,0.596730769,75,558540,90,670.25
43172,P13,5249,120464,0.810964409,67,678096,90,910.88
43172,P14,5266,120448,0.796611163,82,815220,90,894.75
43172,P15,5267,120448,0.635494505,70,555168,90,713.79
43173,P11,5260,120452,0.584436494,21.5,156816,90,656.44
43174,P09,5264,120437,0.812686966,36,365124,90,912.81
43174,P10,5258,120436,0.733037796,15.4,140884,90,823.35
43174,P11,5265,120437,0.802884615,17,170340,90,901.80
43174,P16,5263,251200,0.460516827,16,91956,90,517.25
43174,P16,5297,120431,0.616559829,6,46168,90,692.52
43178,P09,5278,120436,0.883216783,11,121248,90,992.03
43178,P09,5279,120464,0.767160791,72,689340,90,861.68
43178,P10,5281,120433,0.606950549,35,265116,90,681.73
43178,P11,5284,280068,0.649722321,108.5,879776,90,729.77
43178,P12,5288,280096,0.559412361,35,220856,110,694.12
43178,P13,5289,120436,0.883983516,35,386124,90,992.89
43178,P14,5292,120436,0.694891103,83,719796,90,780.50
43178,P16,5294,241288,0.698538614,105,915365,90,784.60
43179,P10,5282,120465,0.609615385,24,182592,90,684.72
43179,P12,5287,280095,0.591079344,32,213356,110,733.41
43179,P13,5290,120464,0.827644231,48,495792,90,929.61
43180,P10,5283,120431,0.614750557,46,352916,90,690.49
43180,P12,5286,280093,0.692952128,24,187596,110,859.82
43181,P09,5280,120431,0.588507326,28,205648,90,661.01
43181,P13,5291,120448,0.720432692,16,143856,90,809.19
43181,P14,5293,120437,0.790762363,28,276324,90,888.18
43182,P13,5348,120437,0.716706201,11.35,101520,90,805.00
43185,P09,5330,280068,0.682094741,59,502240,90,766.13
43185,P10,5311,280068,0.696070094,99.5,864352,90,781.83
43185,P11,5332,120436,0.717477376,51,456660,90,805.87
43185,P12,5335,120430,0.753342491,35,329060,90,846.15
43185,P13,5319,120436,0.851527149,51,541980,90,956.44
43185,P14,5323,120437,0.577444589,59,425184,90,648.59
43185,P16,5324,120437,0.594766131,91,675464,90,668.04
43186,P12,5336,120431,0.417456897,58,302172,90,468.89
43187,P09,5331,120448,0.876951567,45,492496,90,984.99
43187,P11,5333,120444,0.780889423,24,233892,90,877.10
43187,P13,5320,120464,0.77880609,24,233268,90,874.76
43187,P14,5339,120448,0.800985698,49.75,497316,90,899.67
43188,P11,5334,120435,0.801923077,12,120096,90,900.72
43188,P11,5334,120444,0.682024573,24,204280,90,766.05
43188,P13,5321,120448,0.834280936,34.5,359208,90,937.06
43188,P16,5340,120448,0.790960024,12.7,125364,90,888.41
43189,P10,5377,120465,0.837019231,2,20892,90,940.14
43189,P12,5337,120465,0.699893162,12,104816,90,786.12
43192,P09,5349,242027,0.602117898,51,383236,90,676.30
43192,P10,5352,242027,0.684065493,103.75,885728,90,768.34
43192,P11,5353,120430,0.567408907,19,134544,90,637.31
43192,P11,5354,280003,0.082451923,8,8232,90,92.61
43192,P12,5357,120465,0.663541667,24,198744,90,745.29
43192,P12,5368,120454,0.561268556,19,133088,90,630.42
43192,P13,5360,120536,0.573481781,19,135984,90,644.13
43192,P13,5361,120444,0.765130876,48,458344,90,859.40
43192,P14,5363,120436,0.80903092,51,514932,90,908.70
43192,P16,5365,120448,0.616521249,27,207743,90,692.48
43193,P11,5355,120436,0.79799359,25,248974,90,896.31
43193,P11,5355,280003,0.639690171,24,191600,90,718.50
43193,P12,5358,120442,0.92170584,18,207052,90,1035.26
43193,P16,5367,120437,0.596991377,42,312919,90,670.54
43194,P09,5351,120464,0.804449153,59,592332,90,903.56
43194,P12,5359,120532,0.743791415,44.5,413072,90,835.43
43194,P13,5362,120437,0.78349359,42,410676,90,880.02
43194,P14,5364,120448,0.817438455,55.15,562620,90,918.15
43195,P15,5380,120437,0.451121795,12,67560,90,506.70
43195,P16,5366,120464,0.679171181,35.5,300900,90,762.85
43196,P10,5406,120532,0.971509972,2.7,32736,90,1091.20
43196,P14,5405,120437,0.989423077,4,49392,90,1111.32
43199,P09,5381,120437,0.708898305,59,521976,90,796.23
43199,P10,5384,120437,0.620046357,110.9,858164,90,696.44
43199,P11,5385,242027,0.745128205,105,976416,90,836.93
43199,P12,5386,120450,0.744700358,43,399636,90,836.45
43199,P13,5390,120437,0.75831448,51,482652,90,851.74
43199,P14,5392,120436,0.809945055,35,353784,90,909.73
43199,P16,5395,280040,0.613960942,43,329476,90,689.60
43200,P12,5387,120465,0.778819444,24,233272,90,874.77
43200,P14,5393,120437,0.82641226,32,330036,90,928.23
43200,P16,5396,120436,0.588461538,48,352512,90,660.96
43201,P09,5382,120444,0.706901042,32,282308,90,793.99
43201,P12,5388,120431,0.690114183,32,275604,90,775.14
43201,P13,5391,241288,0.839295439,56.5,591804,90,942.70
43201,P14,5394,120448,0.817844365,43,438888,90,918.60
43202,P09,5383,120536,0.736804253,20.5,188504,90,827.58
43202,P15,5407,120437,0.2484375,8,24804,90,279.05
43202,P16,5397,120430,0.449034299,19.25,107876,90,504.36
43203,P11,5433,120437,1.054807692,2,26328,90,1184.76
43203,P12,5389,120430,0.860714286,14,150384,90,966.75
43206,P09,5408,242027,0.749777422,108,1010580,90,842.15
43206,P10,5409,242027,0.760830599,105.5,1001740,90,854.56
43206,P11,5410,120430,0.550842491,35,240608,90,618.71
43206,P12,5412,280096,0.440634126,51,253488,110,546.74
43206,P13,5416,242027,0.559401709,27,188496,90,628.32
43206,P14,5419,120437,0.821734996,91,933228,90,922.97
43206,P16,5424,120430,1.176842949,8,117496,90,1321.83
43206,P16,5435,120536,0.395327524,16,78939,90,444.03
43207,P11,5411,120464,0.792471175,74.5,736808,90,890.10
43207,P13,5417,241288,0.801995192,40,400356,90,900.80
43207,P16,5422,280040,0.699872907,61.08,533498,90,786.10
43207,P16,5423,280003,0.778465545,16,155444,90,874.37
43208,P12,5413,280095,0.747399527,24,202336,110,927.37
43208,P12,5413,280096,0.631944444,24,171080,110,784.12
43208,P13,5418,120436,0.851016799,43.5,462000,90,955.86
43209,P14,5420,120448,0.847297297,18.5,195624,90,951.68
43209,P15,5437,120464,0.579230769,10,72288,90,650.59
43210,P10,5473,280040,1.05011655,2.75,36040,90,1179.49
43210,P12,5414,280093,0.644904815,9.5,69108,110,800.20
43213,P09,5438,242027,0.709563208,43,380780,90,796.98
43213,P10,5463,242027,0.740794574,43,397540,90,832.06
43213,P11,5456,120436,0.810927251,43,435176,90,910.83
43213,P12,5460,120532,0.715690221,43,384068,90,803.86
43213,P13,5448,120464,0.789330399,83,817620,90,886.58
43213,P14,5450,120448,0.757268579,59,557592,90,850.56
43213,P16,5452,280040,0.80721587,37,372740,90,906.66
43214,P09,5462,242030,0.775040064,48,464280,90,870.53
43214,P10,5440,242030,0.738782051,40,368800,90,829.80
43214,P11,5457,120430,0.76496895,64,610996,90,859.21
43214,P12,5461,120431,0.774574244,67,647668,90,870.00
43214,P16,5465,120431,0.497335737,32,198616,90,558.61
43215,P14,5451,120436,0.840185676,50.75,532140,90,943.70
43216,P09,5434,120450,0.458533654,8,45780,90,515.03
43216,P10,5441,120453,0.606833791,28,212052,90,681.60
43216,P13,5464,120430,0.789414255,27.25,268464,90,886.67
43216,P16,5466,120433,0.740932158,24,221924,90,832.22
43217,P09,5439,120450,0.735384615,11.25,103248,90,825.98
43217,P16,5478,120430,0.630883877,11.63,91568,90,708.61
43220,P09,5479,120464,0.594489645,26,192900,90,667.73
43220,P10,5480,120433,0.674137081,26,218744,90,757.19
43220,P11,5482,242027,0.704326923,26,228540,90,791.10
43220,P12,5485,120431,0.743639053,26,241296,90,835.26
43220,P13,5487,242027,0.767017705,42,402040,90,861.51
43220,P14,5490,280107,0.739772727,11,101556,90,830.91
43220,P14,5491,120437,0.617889088,43,331584,90,694.01
43220,P16,5493,280040,0.672386588,26,218176,90,755.22
43221,P09,5514,120464,0.831158425,84,871320,90,933.56
43221,P09,5514,242027,0.704203649,26,228500,90,790.96
43221,P10,5481,120433,0.623944979,24,186884,90,700.82
43221,P10,5481,120464,0.746587644,58,540410,90,838.57
43221,P11,5510,242027,0.796826398,30.5,303304,90,895.00
43221,P12,5516,120431,0.719030449,32,287152,90,807.62
43221,P13,8488,242030,0.637219551,8,63620,90,715.73
43221,P16,5494,242027,0.719110577,16,143592,90,807.71
43221,P16,5495,120448,0.711916772,61,541968,90,799.62
43222,P11,5535,120430,0.812019231,8,81072,90,912.06
43222,P11,5537,120436,0.751247297,41.5,389086,90,843.80
43222,P12,5486,120430,0.723648819,51,460588,90,812.80
43222,P13,5488,242030,0.838441506,32,334840,90,941.74
43222,P15,5536,120437,0.662714161,55,454887,90,744.36
43223,P13,5489,280039,0.755401901,26.7,251712,90,848.47
43228,P10,5519,242027,0.607448439,46,348724,90,682.29
43228,P11,5522,242030,0.771089744,50,481160,90,866.09
43228,P12,5526,280095,0.679474343,34,260592,110,843.09
43228,P13,5531,120464,0.782509947,58,566412,90,878.92
43228,P15,5548,280087,0.433088731,38,205388,90,486.45
43228,P16,5534,120448,0.63800414,72,573285,90,716.61
43229,P09,5518,242027,0.807369101,59.5,599520,90,906.84
43229,P12,5525,280096,0.768240248,16,138652,110,953.23
43229,P14,5540,280086,0.610943223,28,213488,90,686.21
