sku,ediact_sku_description,ediact_sku_format,recipe,casepacker_format,topload_format,pouch_format,is_organic,flavor_count,has_cinnamon
280623,6X10X120 ACTCHU TROP GGS,6X10X120,ACTCHU TROP GGS,6,10,120,0,1,0
280624,1X16X120 ACTCHU VP ACIN-TROP,1X16X120,ACTCHU VP ACIN-TROP,1,16,120,0,2,1
280641,2X20X90 VP APL-RSPSTB-MANBAN,2X20X90,VP APL-RSPSTB-MANBAN,2,20,90,0,3,0
280642,6X12X90 ASTB DIS26,6X12X90,ASTB DIS26,6,12,90,0,1,0
280643,6X10X90 ASTB DIS26,6X10X90,ASTB DIS26,6,10,90,0,1,0
280644,6X12X90 VP APL-STB-BAN DIS26,6X12X90,VP APL-STB-BAN DIS26,6,12,90,0,3,0
280645,6X10X90 VP APL-BAN DIS26,6X10X90,VP APL-BAN DIS26,6,10,90,0,2,0
280646,1X48X90 VP APL-CIN DIS26,1X48X90,VP APL-CIN DIS26,1,48,90,0,2,1
280647,1X24X90 VP APL-MAN-BAN DIS26,1X24X90,VP APL-MAN-BAN DIS26,1,24,90,0,3,0
280652,6X10X100 SLY VP STLM-BRS HLLWN,6X10X100,SLY VP STLM-BRS HLLWN,6,10,100,0,2,0
280653,6X10X100 SLY VP SL-BR HWN WMDC,6X10X100,SLY VP SL-BR HWN WMDC,6,10,100,0,2,0
280655,1X28X90 ORG VP APL-CIN-STB,1X28X90,ORG VP APL-CIN-STB,1,28,90,1,3,1
280659,6X12X90 APL DIS26,6X12X90,APL DIS26,6,12,90,0,1,0
280660,6X10X90 APL DIS26,6X10X90,APL DIS26,6,10,90,0,1,0
280661,6X12X90 ACIN DIS26,6X12X90,ACIN DIS26,6,12,90,0,1,1
280662,6X10X90 ACIN DIS26,6X10X90,ACIN DIS26,6,10,90,0,1,1
280673,6X10X90 FV VP PER-BER DIS26,6X10X90,FV VP PER-BER DIS26,6,10,90,0,2,0
280674,6X12X90 FV VP PER-BER DIS26,6X12X90,FV VP PER-BER DIS26,6,12,90,0,2,0
280676,4X16X90 APL FH,4X16X90,APL FH,4,16,90,0,1,0
280677,4X16X90 VP APL-BAN-STB FH,4X16X90,VP APL-BAN-STB FH,4,16,90,0,3,0
280679,4X16X90 VP APL-CIN FH,4X16X90,VP APL-CIN FH,4,16,90,0,2,1
280680,4X16X90 VP APL-MAN-BAN FH,4X16X90,VP APL-MAN-BAN FH,4,16,90,0,3,0
280682,1X24X90 APL AM250,1X24X90,APL AM250,1,24,90,0,1,0
280683,1X24X90 VP APL-BAN-STB AM250,1X24X90,VP APL-BAN-STB AM250,1,24,90,0,3,0
280684,1X24X90 VP APL-CIN AM250,1X24X90,VP APL-CIN AM250,1,24,90,0,2,1
280685,1X32X90 APL AM250,1X32X90,APL AM250,1,32,90,0,1,0
280686,1X24X90 MEMBERS MARK ORG APL,1X24X90,MEMBERS MARK ORG APL,1,24,90,1,1,0
280689,1X18X100 SLY VP BRSB-STLEM SAM,1X18X100,SLY VP BRSB-STLEM SAM,1,18,100,0,2,0
570223,2X20X90 AP-MANGVA-PEC DINO CAN,2X20X90,AP-MANGVA-PEC DINO CAN,2,20,90,0,3,0
570261,1X28X90 ORG VP AP-ST-CI-BA CAN,1X28X90,ORG VP AP-ST-CI-BA CAN,1,28,90,1,4,0
570468,2X22X90 VP APL-BAN GGS CAN,2X22X90,VP APL-BAN GGS CAN,2,22,90,0,2,0
570471,6X12X90 VP AP-MA-RSL DIS26 CAN,6X12X90,VP AP-MA-RSL DIS26 CAN,6,12,90,0,3,0
570472,6X12X90 VP APL-BAN DIS26 CAN,6X12X90,VP APL-BAN DIS26 CAN,6,12,90,0,2,0
570473,6X12X90 VP APL-STB DIS26 CAN,6X12X90,VP APL-STB DIS26 CAN,6,12,90,0,2,0
570474,12X4X90 APL DIS26 CAN,12X4X90,APL DIS26 CAN,12,4,90,0,1,0
570475,12X4X90 ASTB DIS26 CAN,12X4X90,ASTB DIS26 CAN,12,4,90,0,1,0
570485,2X20X90 VP AP-MNGV-PEC EXP CAN,2X20X90,VP AP-MNGV-PEC EXP CAN,2,20,90,0,3,0
