line_id,line_name,initial_sku,available_from_hour,long_shutdown_flag,long_shutdown_extra_setup_hours,carryover_run_hours_since_last_cip_at_t0,last_cip_end_datetime,comment
0,P09,280581,0,0,0,0,,
1,P10,CLEAN,0,1,2,0,,
2,P11,CLEAN,0,0,0,0,,
3,P12,120448,0,0,0,0,,
4,P13,280351,0,0,0,0,,
5,P14,120433,0,0,0,0,,
6,P15,120534,0,0,0,0,,
7,P16,280264,0,0,0,0,,
8,P17,570261,0,0,0,0,,
9,P18,280324,0,0,0,0,,
10,P19,280351,0,0,0,0,,
11,P20,120464,0,0,0,0,,
12,P21,280480,0,0,0,0,,
13,P22,280590,0,0,0,0,,
