block_id,block_type,line_id,line_name,start_h,end_h,label,order_id,sku,sku_description,qty_kg,locked,attrs
cs_930877043e,cip,9,P18,95.0,101.0,CIP,,,,0.0,True,current_state:cip_scheduled
cs_19dc59c081,production,9,P18,101.0,128.882,280451,29929,280451,2X20X90 PINPAS-STB-PER-MAN CAN,49756.42,False,current_state:queued;pct=0.0;split
cs_5a569a3e2e,production,9,P18,128.882,176.142,280453,30007,280453,2X20X90 VP APL-GRA-BER CAN,70898.4,False,current_state:queued;pct=0.0
cs_f239721290,production,9,P18,176.142,207.472,570223,30008,570223,2X20X90 AP-MANGVA-PEC DINO CAN,47001.6,False,current_state:queued;pct=0.0
cs_0f84c5ef98,production,9,P18,207.472,215.0,280452,30009,280452,2X20X90 VP MANGVA-PEC-BLB CAN,15132.56,False,current_state:queued;pct=0.0;split
cs_b96aacde83,cip,9,P18,215.0,221.0,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_0f84c5ef98,production,9,P18,221.0,231.132,280452,30009,280452,2X20X90 VP MANGVA-PEC-BLB CAN,20367.04,False,current_state:queued;pct=0.0;split
cs_3ff83acabc,production,9,P18,231.132,254.462,280324,30045,280324,1X32X90 VP APL-CIN-STB-GM5 GGS,35000.64,False,current_state:queued;pct=0.0
cs_50a473ed70,cip,9,P18,335.0,341.0,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_51da523e16,cip,9,P18,455.0,461.0,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_8f605a0f4e,production,10,P19,0.0,23.0,280256,29931,280256,1X24X90 KIRKLAND ORG UNSWT APL,138584.78,True,current_state:running;pct=86.1;started=2026-08-09T00:14;clamped_to_anchor;split
cs_d6305e8ba1,cip,10,P19,23.0,29.0,CIP,,,,0.0,True,current_state:cip_scheduled
cs_8f605a0f4e,production,10,P19,29.0,42.512,280256,29931,280256,1X24X90 KIRKLAND ORG UNSWT APL,81415.54,True,current_state:running;pct=86.1;started=2026-08-09T00:14;clamped_to_anchor;split
cs_fbf7a315f5,production,10,P19,72.017,143.0,280256,30011,280256,1X24X90 KIRKLAND ORG UNSWT APL,111932.13,False,current_state:queued;pct=0.0;split
cs_33175194c1,cip,10,P19,143.0,149.0,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_fbf7a315f5,production,10,P19,149.0,195.527,280256,30011,280256,1X24X90 KIRKLAND ORG UNSWT APL,73367.79,False,current_state:queued;pct=0.0;split
cs_bcac7489cc,production,10,P19,195.527,226.857,280351,30012,280351,1X24X90 KIRK ORG STBSPN-MANPEC,46999.44,False,current_state:queued;pct=0.0
cs_56d46653fe,cip,10,P19,263.0,269.0,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_0a90402309,cip,10,P19,383.0,389.0,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_fce6c3f349,cip,10,P19,503.0,509.0,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_553c8c8cd7,production,11,P20,0.0,41.926,280583,29958,280583,4X16X90 APL GGS,45002.88,True,current_state:running;pct=33.8;started=2026-08-13T20:10;clamped_to_anchor
cs_f18c7807c4,production,11,P20,41.926,58.0,280480,29934,280480,1X28X90 ORG VP APL-CIN-PEC-STB,26264.83,False,current_state:queued;pct=0.0;split
cs_ca25f5b9cf,cip,11,P20,58.0,64.0,CIP,,,,0.0,True,current_state:cip_scheduled
cs_f18c7807c4,production,11,P20,64.0,115.246,280480,29934,280480,1X28X90 ORG VP APL-CIN-PEC-STB,83735.69,False,current_state:queued;pct=0.0;split
cs_f97d1575d5,production,11,P20,139.246,162.576,280480,30014,280480,1X28X90 ORG VP APL-CIN-PEC-STB,35000.28,False,current_state:queued;pct=0.0
cs_8f576dfecd,production,11,P20,162.576,178.0,280586,30013,280586,4X16X90 VP APL-PEC-GM5 GGS,26076.29,False,current_state:queued;pct=0.0;split
cs_0b99845904,cip,11,P20,178.0,184.0,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_8f576dfecd,production,11,P20,184.0,215.896,280586,30013,280586,4X16X90 VP APL-PEC-GM5 GGS,53924.35,False,current_state:queued;pct=0.0;split
cs_70d1709e63,production,11,P20,215.896,235.886,280585,30039,280585,4X16X90 VP APL-BAN-STB GGS,29998.08,False,current_state:queued;pct=0.0
cs_ead0755560,cip,11,P20,298.0,304.0,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_250de79983,cip,11,P20,418.0,424.0,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_7045638437,production,12,P21,0.0,43.776,280591,29936,280591,1X24X90 VP APL-BAN-STB GGS,68500.08,True,current_state:running;pct=52.4;started=2026-08-12T16:50;clamped_to_anchor
cs_4fb6eba8ad,production,12,P21,43.776,95.0,280480,29938,280480,1X28X90 ORG VP APL-CIN-PEC-STB,84999.6,False,current_state:queued;pct=0.0;split
cs_5dfed7b89c,cip,12,P21,95.0,101.0,CIP,,,,0.0,True,current_state:cip_scheduled
cs_82162c2bfd,production,12,P21,101.0,120.426,280212,29937,280212,1X24X90 ORG VP APL-CIN-BAN-STB,30000.24,False,current_state:queued;pct=0.0
cs_92a62d8ab6,production,12,P21,120.426,167.086,280490,30016,280490,1X28X90 FV VP ASTBZUC-APERCAR,70000.56,False,current_state:queued;pct=0.0
cs_4d30c22c16,production,12,P21,167.086,215.0,280480,30017,280480,1X28X90 ORG VP APL-CIN-PEC-STB,75831.55,False,current_state:queued;pct=0.0;split
cs_daec8f7a64,cip,12,P21,215.0,221.0,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_4d30c22c16,production,12,P21,221.0,282.396,280480,30017,280480,1X28X90 ORG VP APL-CIN-PEC-STB,97168.97,False,current_state:queued;pct=0.0;split
cs_559366093c,cip,12,P21,335.0,341.0,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_3e667c09c5,cip,12,P21,455.0,461.0,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_f327266b70,production,13,P22,0.0,34.562,120448,29940,120448,6X12X90 ACIN GGS,58196.88,True,current_state:running;pct=67.8;started=2026-08-09T17:23;clamped_to_anchor
cs_f4632f54d8,cip,13,P22,107.0,113.0,CIP,,,,0.0,True,current_state:cip_scheduled
cs_af910c2ec8,production,13,P22,154.562,227.0,120448,30018,120448,6X12X90 ACIN GGS,117619.92,False,current_state:queued;pct=0.0;split
cs_03a4c279c9,cip,13,P22,227.0,233.0,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_af910c2ec8,production,13,P22,233.0,233.482,120448,30018,120448,6X12X90 ACIN GGS,782.64,False,current_state:queued;pct=0.0;split
cs_5ac104df81,production,13,P22,233.482,253.482,241283,30020,241283,6X12X90 ORG VP APL-BAN-STB GGS,30002.4,False,current_state:queued;pct=0.0
cs_a03d4eeed5,production,13,P22,253.482,273.482,280324,30041,280324,1X32X90 VP APL-CIN-STB-GM5 GGS,30000.96,False,current_state:queued;pct=0.0
cs_3614525c8b,production,13,P22,273.482,303.472,280480,30021,280480,1X28X90 ORG VP APL-CIN-PEC-STB,44999.64,False,current_state:queued;pct=0.0
cs_5f66d3acb3,cip,13,P22,347.0,353.0,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_d33d3a8438,cip,13,P22,467.0,473.0,CIP (projected),,,,0.0,False,current_state:cip_projected
