line_id,line_name,active
0,P09,True
1,P10,True
2,P11,True
3,P12,True
4,P13,True
5,P14,True
6,P15,True
7,P16,True
8,P17,True
9,P18,True
10,P19,True
11,P20,True
12,P21,True
13,P22,True
