block_id,block_type,line_id,line_name,start_h,end_h,label,order_id,sku,sku_description,qty_kg,locked,attrs
cip_46e3569390,cip,0,P09,108.0,114.0,CIP,,CIP,,,False,
cip_544ac007b4,cip,0,P09,234.0,240.0,CIP,,CIP,,,False,
cip_f4b78d2aba,cip,0,P09,359.0,365.0,CIP,,CIP,,,False,
cip_af2e0ecb8b,cip,1,P10,297.0,303.0,CIP,,CIP,,,False,
cip_baa4b7fc67,cip,1,P10,447.0,453.0,CIP,,CIP,,,False,
cip_9172fb9163,cip,3,P12,53.0,59.0,CIP,,CIP,,,False,
cip_ae29efe021,cip,3,P12,179.0,185.0,CIP,,CIP,,,False,
cip_3ee8720066,cip,3,P12,305.0,311.0,CIP,,CIP,,,False,
cip_41ac7cbaa0,cip,5,P14,124.0,130.0,CIP,,CIP,,,False,
cip_5784e43da0,cip,5,P14,250.0,256.0,CIP,,CIP,,,False,
cip_782f4c0641,cip,5,P14,376.0,382.0,CIP,,CIP,,,False,
cip_c3a68bd630,cip,6,P15,43.0,49.0,CIP,,CIP,,,False,
cip_b66169315b,cip,6,P15,193.0,199.0,CIP,,CIP,,,False,
cip_ae9e05f27a,cip,6,P15,343.0,349.0,CIP,,CIP,,,False,
cip_b9e14ec789,cip,7,P16,198.0,204.0,CIP,,CIP,,,False,
cip_4194acec04,cip,7,P16,348.0,354.0,CIP,,CIP,,,False,
cip_69c7ec9c47,cip,7,P16,462.0,468.0,CIP,,CIP,,,False,
cip_79a4e00193,cip,8,P17,106.0,112.0,CIP,,CIP,,,False,
cip_2895b9b877,cip,8,P17,232.0,238.0,CIP,,CIP,,,False,
cip_b150ecd33c,cip,8,P17,358.0,364.0,CIP,,CIP,,,False,
cip_acd0194bb2,cip,9,P18,54.0,60.0,CIP,,CIP,,,False,
cip_c9f9e3ff5e,cip,9,P18,180.0,186.0,CIP,,CIP,,,False,
cip_e1549752a0,cip,9,P18,306.0,312.0,CIP,,CIP,,,False,
cip_0bde254479,cip,10,P19,208.0,214.0,CIP,,CIP,,,False,
cip_69395a22f3,cip,10,P19,334.0,340.0,CIP,,CIP,,,False,
cip_56b81c9f08,cip,10,P19,460.0,466.0,CIP,,CIP,,,False,
cip_5d805d359a,cip,11,P20,18.0,24.0,CIP,,CIP,,,False,
cip_1e782f2c2e,cip,11,P20,144.0,150.0,CIP,,CIP,,,False,
cip_0da920bc95,cip,11,P20,270.0,276.0,CIP,,CIP,,,False,
cip_7d6f64fb3f,cip,12,P21,100.0,106.0,CIP,,CIP,,,False,
cip_e2b58f8619,cip,12,P21,226.0,232.0,CIP,,CIP,,,False,
cip_b570949602,cip,12,P21,352.0,358.0,CIP,,CIP,,,False,
cip_84469d11e2,cip,13,P22,46.0,52.0,CIP,,CIP,,,False,
cip_c80801c207,cip,13,P22,172.0,178.0,CIP,,CIP,,,False,
cip_2ced6ce8d3,cip,13,P22,298.0,304.0,CIP,,CIP,,,False,
down_f78bfbbd3f,line_down,2,P11,0.0,504.0,Down,,,,,False,Down
down_dbf82c9939,line_down,4,P13,0.0,504.0,Down,,,,,False,Down
